GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Under Cut,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,1.37519,3666,1.37519,6,0.991794,0.007172,0.000967,3.4e-05,2.2e-05,7e-06,3e-06,0.0,0.0,0.0,0.991794,0.984622,70.104378,91.357224,306.935303,178.244675,1.0,0.948449,134.800949,188.51984,86.887451,236.830925
Good,1.513748,4208,1.513748,4,0.991516,0.003345,0.002813,0.002065,0.000259,2e-06,0.0,0.0,0.0,0.0,0.991516,0.988171,67.878265,89.937103,312.325592,186.790314,1.0,0.971382,138.363708,190.101929,96.85321,244.447327
Good,1.487165,4214,1.487165,4,0.998821,0.000865,0.000158,6.4e-05,5.1e-05,3.7e-05,2e-06,1e-06,0.0,0.0,0.998821,0.997956,67.540741,90.289955,305.550446,183.667786,1.0,0.957896,136.97887,186.545593,93.377831,238.009705
Good,1.427262,3832,1.427262,5,0.770676,0.158985,0.069392,0.000463,0.000285,0.000105,6.8e-05,1.9e-05,7e-06,0.0,0.770676,0.611691,68.189331,87.509758,308.547668,182.647736,1.0,0.98128,135.078747,188.3685,95.137978,240.358337
Good,1.419852,3677,1.419852,6,0.938344,0.039056,0.021745,0.000567,0.000261,2.5e-05,1e-06,0.0,0.0,0.0,0.938344,0.899288,66.320045,89.471199,307.511871,184.65155,1.0,0.991456,137.061375,186.915958,95.180351,241.191826
Good,1.333103,3998,1.333103,3,0.981769,0.016328,0.001361,0.000502,2.1e-05,1.1e-05,4e-06,3e-06,1e-06,0.0,0.981769,0.965441,69.180588,91.999397,310.195679,185.68634,1.0,0.969999,138.842869,189.688133,93.686943,241.015091
Good,1.393857,3497,1.393857,6,0.879843,0.08895,0.030576,0.00053,7.1e-05,2e-05,8e-06,1e-06,0.0,0.0,0.879843,0.790893,65.113113,89.846207,307.929443,184.581039,1.0,0.986119,137.213623,186.521278,94.734833,242.81633
Good,1.316635,3769,1.316635,5,0.997969,0.001233,0.000424,0.000243,0.000111,1e-05,5e-06,4e-06,1e-06,0.0,0.997969,0.996737,65.271591,89.830719,304.817139,183.031982,1.0,0.979526,136.431351,185.044365,93.201263,239.545547
Good,1.29124,3741,1.29124,5,0.998608,0.000695,0.000644,3.1e-05,2.1e-05,1e-06,1e-06,0.0,0.0,0.0,0.998608,0.997914,61.673294,89.341125,307.566589,185.513763,1.0,0.934386,137.427444,184.619942,96.172638,245.893295
Good,1.575076,5308,1.575076,2,0.998709,0.000852,0.000297,9e-05,5.2e-05,0.0,0.0,0.0,0.0,0.0,0.998709,0.997857,64.306305,87.415787,308.274414,184.399155,1.0,0.952047,135.907471,186.290359,96.983368,243.968109
Good,0.508407,1579,0.508407,4,0.624182,0.37203,0.003353,0.000334,6.4e-05,1.8e-05,1e-05,6e-06,3e-06,0.0,0.624182,0.252152,6.394257,81.919228,289.262817,185.145752,1.0,0.853115,133.53249,147.828537,103.226524,282.868561
Good,1.486926,4067,1.486926,5,0.999928,5e-05,1e-05,6e-06,4e-06,1e-06,0.0,0.0,0.0,0.0,0.999928,0.999878,70.622292,91.627762,304.258545,181.582016,1.0,0.982066,136.604889,187.440418,89.954254,233.636253
Good,1.355697,3079,1.355697,4,0.950749,0.045961,0.002297,0.000603,0.000197,0.000111,4.6e-05,2.7e-05,9e-06,0.0,0.950749,0.904788,76.483521,94.182083,311.291534,181.837692,1.0,0.974422,138.009888,193.887527,87.655609,234.808014
Good,1.338071,4052,1.338071,4,0.993355,0.006238,0.000222,0.000154,2.5e-05,3e-06,1e-06,0.0,0.0,0.0,0.993355,0.987117,73.782303,91.954453,310.618469,185.046768,1.0,0.987665,138.50061,192.200386,93.092316,236.836166
Good,1.324127,3051,1.324127,4,0.948611,0.028381,0.022766,0.000108,6.4e-05,4.4e-05,1.4e-05,8e-06,4e-06,0.0,0.948611,0.92023,73.493141,92.974686,309.49231,181.761215,1.0,0.971677,137.36795,191.492725,88.78653,235.999168
Good,1.524729,3270,1.524729,6,0.952407,0.046679,0.000454,0.000386,4.8e-05,1.3e-05,7e-06,5e-06,2e-06,0.0,0.952407,0.905728,65.781151,89.540382,313.689545,186.028534,1.0,0.970018,137.784458,189.735348,96.488152,247.908394
Good,1.476032,3520,1.476032,4,0.997707,0.002259,1.7e-05,8e-06,5e-06,3e-06,0.0,0.0,0.0,0.0,0.997707,0.995448,70.811928,89.006371,309.71936,186.179016,1.0,0.94646,137.592693,190.265644,97.172646,238.907433
Good,0.864484,11249,0.864484,10,0.999993,4e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.999993,0.999989,124.394829,78.065933,292.011719,159.243881,1.0,0.63724,118.654907,208.203274,81.177948,167.61689
Good,0.727406,8717,0.727406,7,0.991538,0.007572,0.000658,0.000147,8.1e-05,3e-06,0.0,0.0,0.0,0.0,0.991538,0.983966,118.729614,79.215408,305.4888,168.522583,1.0,0.81007,123.868996,212.109207,89.307175,186.759186
Good,0.649084,8255,0.649084,11,0.983722,0.016118,0.000115,4.3e-05,2e-06,1e-06,0.0,0.0,0.0,0.0,0.983722,0.967604,113.997749,82.120308,310.786346,180.648956,1.0,0.854796,131.384632,212.392048,98.528648,196.788597
Good,0.704064,8381,0.704064,8,0.986859,0.005904,0.003634,0.003463,0.000118,2.3e-05,0.0,0.0,0.0,0.0,0.986859,0.980954,111.475899,76.822769,311.616821,174.263214,1.0,0.902066,125.542992,211.54636,97.440445,200.140923
Good,0.686538,6826,0.686538,5,0.808793,0.135308,0.04935,0.004606,0.001685,0.000223,2.5e-05,1.1e-05,1e-06,0.0,0.808793,0.673485,124.098267,75.854134,306.138855,163.26358,1.0,0.834676,119.558857,215.118561,87.409447,182.040588
Good,0.697529,8070,0.697529,5,0.949026,0.035061,0.015498,0.000184,0.000161,6.9e-05,0.0,0.0,0.0,0.0,0.949026,0.913965,116.272446,77.779091,305.450012,171.381653,1.0,0.850214,124.580372,210.861229,93.602562,189.177567
Good,0.71697,8581,0.71697,6,0.861557,0.13217,0.005396,0.000782,5.4e-05,4.2e-05,0.0,0.0,0.0,0.0,0.861557,0.729387,110.32132,76.302429,309.829102,171.358795,1.0,0.861018,123.830612,210.075211,95.056366,199.507782
Good,0.714213,8262,0.714213,8,0.970018,0.024144,0.005749,4e-05,3.6e-05,1.1e-05,0.0,0.0,0.0,0.0,0.970018,0.945874,115.431808,78.474731,308.842224,174.962509,1.0,0.866429,126.71862,212.137016,96.487778,193.410416
Good,0.758004,8563,0.758004,7,0.991191,0.007821,0.000821,0.00012,4.6e-05,1e-06,0.0,0.0,0.0,0.0,0.991191,0.98337,111.318848,76.228943,311.1745,173.0681,1.0,0.907529,124.648521,211.246674,96.839157,199.855652
Good,0.748947,9403,0.748947,7,0.974306,0.019105,0.006541,3.3e-05,1.4e-05,1e-06,0.0,0.0,0.0,0.0,0.974306,0.955202,123.434113,78.950981,307.351898,167.52002,1.0,0.761488,123.2355,215.393005,88.569038,183.917786
Good,0.716758,10141,0.716758,10,0.99164,0.007746,0.000556,5.1e-05,7e-06,0.0,0.0,0.0,0.0,0.0,0.99164,0.983894,116.139519,80.439819,309.395996,176.364594,1.0,0.752596,128.402206,212.767757,95.924774,193.256477
Good,0.720194,9521,0.720194,5,0.72481,0.258177,0.012103,0.004705,0.000175,3.1e-05,0.0,0.0,0.0,0.0,0.72481,0.466633,124.494186,76.905586,297.757507,165.786255,1.0,0.642753,121.345921,211.125847,88.880669,173.263321
Good,0.751612,8972,0.751612,5,0.92992,0.040505,0.016599,0.012753,0.00021,1.1e-05,1e-06,0.0,0.0,0.0,0.92992,0.889415,114.685013,81.56871,304.716553,165.510284,1.0,0.749597,123.539497,209.700783,83.941574,190.03154
Good,0.593346,6569,0.593346,7,0.931639,0.04873,0.017548,0.000683,0.000668,0.000642,9e-05,0.0,0.0,0.0,0.931639,0.882909,106.630959,73.738609,306.069153,164.365448,1.0,0.845609,119.052029,206.350056,90.626839,199.438194
Good,0.667379,8397,0.667379,5,0.997539,0.001362,0.000513,0.000404,0.000161,2e-05,1e-06,0.0,0.0,0.0,0.997539,0.996176,104.296417,74.456718,307.093292,168.41217,1.0,0.873904,121.434444,205.694855,93.955452,202.796875
Good,0.58229,6391,0.58229,4,0.85076,0.083892,0.048722,0.011197,0.003732,0.001617,4.3e-05,3.2e-05,5e-06,0.0,0.85076,0.766868,117.039742,77.035164,314.889343,158.056091,1.0,0.770071,117.545628,215.964542,81.020927,197.849602
Good,0.71301,7312,0.71301,6,0.477571,0.373765,0.132856,0.007808,0.004282,0.003678,3.7e-05,2e-06,0.0,0.0,0.477571,0.103806,104.497612,73.050339,309.585693,164.802017,1.0,0.820215,118.926178,207.041653,91.751678,205.088081
