GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.581805,10153,0.581805,23,0.772034,0.118619,0.075589,0.033155,0.000476,0.000116,1.1e-05,0.0,0.0,0.772034,0.653414,103.634605,69.866753,161.514404,207.109283,1.0,0.978071,138.488018,132.574505,137.242531,57.879799
Good,0.569096,15940,0.569096,6,0.429735,0.33934,0.204561,0.022554,0.003033,0.000728,4.8e-05,2e-06,0.0,0.429735,0.090395,103.57769,70.083481,161.545517,208.051224,1.0,0.976958,139.067352,132.561604,137.967743,57.967827
Good,0.574359,14801,0.574359,4,0.70575,0.14963,0.098788,0.023324,0.021623,0.000522,0.00031,5.3e-05,0.0,0.70575,0.556121,103.153763,69.570389,161.254074,207.484238,1.0,0.982793,138.527313,132.203918,137.913849,58.100311
Good,0.513917,13165,0.513917,9,0.820502,0.124296,0.038341,0.011042,0.0043,0.001247,0.00025,2e-05,0.0,0.820502,0.696206,103.614838,72.951042,161.353088,209.739899,1.0,0.961536,141.34547,132.483963,136.788857,57.738251
Good,0.533285,12903,0.533285,21,0.658846,0.224244,0.111811,0.003246,0.001573,0.000271,9e-06,0.0,0.0,0.658846,0.434602,103.285027,71.137886,161.228683,208.16156,1.0,0.976539,139.649723,132.256855,137.023674,57.943657
Good,0.963713,14708,0.963713,11,0.542127,0.230826,0.181492,0.029643,0.010129,0.002993,0.002778,1.2e-05,0.0,0.542127,0.3113,102.413139,71.717842,160.148849,206.878662,1.0,0.979001,139.298252,131.280994,135.16082,57.73571
Good,0.809621,16276,0.809621,8,0.925016,0.065861,0.004075,0.003849,0.001184,1.3e-05,2e-06,0.0,0.0,0.925016,0.859155,103.219643,71.434334,161.152267,207.336182,1.0,0.992035,139.385258,132.185955,135.901848,57.932625
Good,0.669498,10854,0.669498,9,0.667752,0.143494,0.140092,0.045059,0.003538,4.5e-05,1.7e-05,4e-06,0.0,0.667752,0.524258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Good,0.527753,11502,0.527753,16,0.986762,0.004975,0.004289,0.003194,0.000693,7.9e-05,7e-06,0.0,0.0,0.986762,0.981787,102.660713,71.37426,160.850906,208.843719,1.0,0.953877,140.10899,131.75581,137.46946,58.190193
Good,0.479201,11635,0.479201,12,0.972512,0.022189,0.00249,0.001882,0.000865,4.4e-05,1.7e-05,0.0,0.0,0.972512,0.950322,102.705818,71.915344,160.159943,207.08075,1.0,0.969482,139.498047,131.43288,135.165405,57.454124
Good,0.556564,14235,0.556564,12,0.475251,0.349521,0.113415,0.058773,0.00272,0.000205,9.1e-05,2.4e-05,0.0,0.475251,0.12573,103.405922,69.943741,161.377289,206.529648,1.0,0.981449,138.236694,132.391605,136.585907,57.971367
Good,1.235285,20142,1.235285,9,0.775338,0.214123,0.007301,0.002975,0.000154,9.6e-05,9e-06,2e-06,0.0,0.775338,0.561215,91.442406,79.253769,148.097977,200.867111,1.0,0.891679,140.06044,119.770191,121.613342,56.655571
Good,1.215927,19979,1.215927,11,0.614547,0.370074,0.011012,0.004043,0.000163,0.000144,1.4e-05,3e-06,0.0,0.614547,0.244473,91.621735,79.375893,148.250031,200.815247,1.0,0.894027,140.09557,119.935883,121.439354,56.628296
Good,0.632692,18401,0.632692,8,0.689786,0.137244,0.084725,0.067505,0.020442,0.000235,6.3e-05,2e-06,0.0,0.689786,0.552543,99.769485,73.503349,154.055878,207.487823,1.0,0.946612,140.495586,126.912682,133.984474,54.286392
Good,0.576871,10337,0.576871,12,0.660617,0.213515,0.09821,0.024263,0.002974,0.00041,1e-05,1e-06,0.0,0.660617,0.447102,102.574837,72.364677,160.483307,209.650177,1.0,0.980376,141.007427,131.529072,137.2855,57.90847
Good,0.874765,18239,0.874765,5,0.62594,0.186708,0.159647,0.027322,0.00018,8.4e-05,6.4e-05,5.5e-05,0.0,0.62594,0.439231,105.227455,85.551689,160.890823,186.304871,1.0,0.947094,135.92828,133.059139,100.753181,55.663368
Good,0.846814,16325,0.846814,7,0.865703,0.102639,0.021788,0.009769,7.5e-05,1.5e-05,9e-06,1e-06,0.0,0.865703,0.763064,106.781227,86.437202,161.912781,188.720001,1.0,0.938727,137.578602,134.347004,102.282799,55.131554
Good,0.881699,18958,0.881699,6,0.740085,0.202396,0.038016,0.019434,3.7e-05,1.6e-05,1.4e-05,2e-06,0.0,0.740085,0.537689,106.642456,83.935699,160.589172,187.763397,1.0,0.952427,135.849548,133.615814,103.827698,53.946716
Good,0.787723,17878,0.787723,6,0.878211,0.069829,0.044994,0.006095,0.000763,9.6e-05,7e-06,4e-06,0.0,0.878211,0.808382,106.049042,83.410873,160.77298,186.458786,1.0,0.871258,134.93483,133.411011,103.047913,54.723938
Good,0.831301,18107,0.831301,10,0.525651,0.337745,0.103362,0.032629,0.00024,0.000169,0.000124,7.9e-05,0.0,0.525651,0.187905,106.106216,87.10376,159.837357,191.003235,1.0,0.929003,139.053497,132.971786,103.899475,53.73114
Good,0.983295,20531,0.983295,12,0.997277,0.002311,0.000215,0.000125,3.4e-05,3.3e-05,5e-06,0.0,0.0,0.997277,0.994966,104.16008,84.186409,159.752914,185.604858,7.0,0.566885,134.895634,131.956497,101.418449,55.592834
Good,0.865165,19241,0.865165,5,0.952667,0.04553,0.001338,0.000447,1.6e-05,2e-06,1e-06,0.0,0.0,0.952667,0.907137,107.041656,85.483459,161.790527,187.492554,1.0,0.913745,136.488007,134.416092,102.009094,54.748871
Good,0.731098,16729,0.731098,6,0.530437,0.287509,0.168698,0.012258,0.000531,0.000475,5.2e-05,4e-05,0.0,0.530437,0.242928,105.594452,86.182953,160.962952,189.882813,1.0,0.930519,138.032883,133.278702,103.69986,55.3685
Good,0.97022,1926,0.97022,3,0.864069,0.135647,0.000122,0.000112,4.9e-05,1e-06,0.0,0.0,0.0,0.864069,0.728422,117.851242,90.833267,165.64534,189.286453,1.0,0.520088,140.05986,141.748291,98.453186,47.794098
Good,0.914225,21210,0.914225,8,0.587646,0.359638,0.044638,0.004491,0.003501,7e-05,1.5e-05,1e-06,0.0,0.587646,0.228008,107.380028,88.77903,161.774628,187.963501,1.0,0.977832,138.371265,134.577328,99.184471,54.3946
Good,0.835925,16071,0.835925,9,0.947039,0.031771,0.017124,0.003292,0.000734,2.7e-05,9e-06,3e-06,0.0,0.947039,0.915268,119.94957,86.647919,168.044632,189.462219,1.0,0.678433,138.055069,143.997101,102.814301,48.095062
Good,0.754872,19622,0.754872,5,0.663401,0.321898,0.013399,0.000777,0.00046,4.9e-05,1.5e-05,0.0,0.0,0.663401,0.341503,108.935974,90.358978,164.200531,189.822784,1.0,0.947654,140.090881,136.568253,99.463806,55.264557
Good,0.68722,15087,0.68722,13,0.907282,0.087907,0.003119,0.001313,0.000363,1.2e-05,4e-06,1e-06,0.0,0.907282,0.819374,114.948265,89.25148,161.401337,194.820541,1.0,0.934724,142.036011,138.174801,105.569061,46.453072
Good,1.108036,17230,1.108036,11,0.986978,0.012201,0.000547,0.000189,5.3e-05,2.9e-05,3e-06,0.0,0.0,0.986978,0.974777,113.504677,93.620911,165.082855,187.103882,1.0,0.996826,140.362396,139.293766,93.482971,51.578178
Good,0.933208,16951,0.933208,12,0.899304,0.06702,0.033106,0.000383,0.000125,5.8e-05,3e-06,2e-06,0.0,0.899304,0.832284,116.593803,90.502258,164.926605,190.916718,1.0,0.970294,140.709488,140.760204,100.414459,48.332802
Good,0.837042,16947,0.837042,10,0.87755,0.117973,0.002574,0.001727,0.000164,8e-06,3e-06,0.0,0.0,0.87755,0.759577,109.66217,84.238541,158.19696,186.838333,1.0,0.970063,135.538437,133.929565,102.599792,48.53479
Good,0.908733,16864,0.908733,11,0.998411,0.001228,0.000344,1e-05,5e-06,1e-06,1e-06,0.0,0.0,0.998411,0.997183,118.506416,84.551926,165.349457,185.67482,1.0,0.891906,135.113373,141.927937,101.122894,46.84304
