GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,1.021022,30414,1.021022,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,79.750694,75.147835,171.127472,152.758484,1.0,0.999249,113.953159,125.439083,77.610649,91.376778
Good,1.128304,28796,1.128304,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.958984,75.567368,169.69104,149.547745,1.0,0.999567,112.557556,125.325012,73.980377,88.732056
Good,0.971624,29294,0.971624,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.769035,81.364136,165.325928,146.853088,1.0,0.999715,114.108612,124.547482,65.488953,81.556892
Good,0.945019,28906,0.945019,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.549454,81.388138,165.425552,147.248825,1.0,0.999735,114.318481,124.487503,65.860687,81.876099
Good,1.068315,31981,1.068315,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.168793,81.801636,161.484192,146.132538,1.0,0.999984,113.967087,121.326492,64.330902,80.315399
Good,1.087623,27864,1.087623,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.632935,79.336639,164.260071,147.406326,1.0,0.999898,113.371483,122.946503,68.069687,82.627136
Good,1.370029,60638,1.370029,1,0.999971,1.5e-05,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999971,0.999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Good,1.004641,28623,1.004641,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.724258,80.462799,166.188141,146.661667,1.0,0.999974,113.562233,124.9562,66.198868,82.463882
Good,0.937051,26408,0.937051,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.221291,78.697006,164.130707,147.234787,1.0,0.999771,112.965897,123.175999,68.537781,81.909416
Good,1.059269,24282,1.059269,1,0.999939,6.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999939,0.999879,86.159668,117.823502,172.345123,197.953873,1.0,0.998838,157.888687,129.252396,80.130371,86.185455
Good,1.010946,28382,1.010946,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.964836,118.11158,173.821655,196.67688,1.0,0.999788,157.39423,127.893246,78.5653,91.856819
Good,1.028158,27529,1.028158,3,0.999999,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999,0.999998,81.263069,120.512619,176.758728,202.73613,1.0,0.999831,161.624374,129.010899,82.223511,95.495659
Good,1.180239,30149,1.180239,1,0.999894,0.000106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999894,0.999788,79.102005,117.677406,175.228439,203.206604,1.0,0.999873,160.442005,127.165222,85.529198,96.126434
Good,1.141157,28832,1.141157,2,0.999997,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999997,0.999993,76.816307,114.453644,176.883026,205.290833,1.0,0.998891,159.872238,126.849667,90.837189,100.066719
Good,1.090797,28687,1.090797,4,0.998957,0.001035,7e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.998957,0.997922,79.537659,119.544952,173.738113,204.245972,1.0,0.989377,161.895462,126.637886,84.701019,94.200455
Good,1.127655,29100,1.127655,1,0.996414,0.003586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996414,0.992828,78.658516,118.397964,175.356598,202.060776,1.0,0.999943,160.22937,127.007557,83.662811,96.698082
