GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn Through,Good,Notching,Porosity,CL_ConfMax,CL_ConfMargin,Row1,Col1,Length1,Length2,PHI,OD1_ClassID,OD1_Conf
Good,0.655049,1403,0.655049,4,0.919086,0.048335,0.030689,0.001889,0.919086,0.870751,239.239182,273.386078,107.527084,104.996521,1.615056,0.0,0.999995
Good,0.7767,3714,0.7767,6,0.825992,0.172601,0.000707,0.0007,0.825992,0.65339,255.310486,230.897751,102.823761,106.593353,1.563151,0.0,0.99999
Good,0.787282,3719,0.787282,4,0.972076,0.026602,0.000895,0.000427,0.972076,0.945473,245.489395,229.800934,105.285255,101.335693,1.60885,0.0,1.0
Good,0.741727,2883,0.741727,6,0.983859,0.009767,0.006168,0.000207,0.983859,0.974092,246.578949,258.409149,106.808334,102.916679,1.608559,0.0,0.999999
Good,0.668625,3814,0.668625,3,0.968242,0.018225,0.013114,0.000418,0.968242,0.950017,245.891815,224.378952,103.82621,101.618652,1.622137,0.0,0.999999
Good,0.630351,2782,0.630351,6,0.9119,0.067744,0.012487,0.00787,0.9119,0.844156,243.863754,243.636368,108.956802,105.147049,1.62694,0.0,0.999998
Good,0.699501,4099,0.699501,3,0.948927,0.020819,0.016577,0.013678,0.948927,0.928108,250.236938,218.134964,107.530846,102.291077,1.650282,0.0,1.0
Good,0.629053,2631,0.629053,4,0.99319,0.004347,0.002393,7e-05,0.99319,0.988843,247.681931,255.051559,106.026344,102.307327,1.627627,0.0,0.999998
Good,0.662715,1800,0.662715,10,0.992103,0.004324,0.002672,0.000901,0.992103,0.987779,247.10408,266.538635,110.581032,105.300598,1.617273,0.0,0.999998
Good,0.64073,1941,0.64073,10,0.965725,0.020776,0.011416,0.002083,0.965725,0.944949,245.073517,263.390686,109.115425,105.463966,1.61029,0.0,0.999998
Good,0.65761,2895,0.65761,9,0.951897,0.04127,0.004631,0.002201,0.951897,0.910627,252.041992,233.975983,107.74073,103.656387,1.618472,0.0,0.999997
Good,0.657962,2046,0.657962,7,0.988673,0.00609,0.003286,0.001951,0.988673,0.982583,242.850403,258.170776,106.833878,104.571114,1.625591,0.0,0.999996
